ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 25 a 29 años,1008
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 30 a 34 años,513
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 35 a 39 años,295
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 40 a 44 años,251
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 45 a 49 años,184
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 50 a 54 años,183
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 55 a 59 años,192
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 60 a 64 años,51
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 65 a 69 años,17
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 70 a 74 años,13
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 75 y más años,34
Instrumentos de precisión óptica y similares,Zona Rural,Total,1293
Instrumentos de precisión óptica y similares,Zona Rural,De 16 a 19 años,110
Instrumentos de precisión óptica y similares,Zona Rural,De 20 a 24 años,294
Instrumentos de precisión óptica y similares,Zona Rural,De 25 a 29 años,194
Instrumentos de precisión óptica y similares,Zona Rural,De 30 a 34 años,157
Instrumentos de precisión óptica y similares,Zona Rural,De 35 a 39 años,99
Instrumentos de precisión óptica y similares,Zona Rural,De 40 a 44 años,137
Instrumentos de precisión óptica y similares,Zona Rural,De 45 a 49 años,94
Instrumentos de precisión óptica y similares,Zona Rural,De 50 a 54 años,79
Instrumentos de precisión óptica y similares,Zona Rural,De 55 a 59 años,63
Instrumentos de precisión óptica y similares,Zona Rural,De 60 a 64 años,43
Instrumentos de precisión óptica y similares,Zona Rural,De 65 a 69 años,11
Instrumentos de precisión óptica y similares,Zona Rural,De 70 a 74 años,
Instrumentos de precisión óptica y similares,Zona Rural,De 75 y más años,11
Instrumentos de precisión óptica y similares,Zona Intermedia,Total,1366
Instrumentos de precisión óptica y similares,Zona Intermedia,De 16 a 19 años,56
Instrumentos de precisión óptica y similares,Zona Intermedia,De 20 a 24 años,286
Instrumentos de precisión óptica y similares,Zona Intermedia,De 25 a 29 años,221
Instrumentos de precisión óptica y similares,Zona Intermedia,De 30 a 34 años,220
Instrumentos de precisión óptica y similares,Zona Intermedia,De 35 a 39 años,138
Instrumentos de precisión óptica y similares,Zona Intermedia,De 40 a 44 años,83
Instrumentos de precisión óptica y similares,Zona Intermedia,De 45 a 49 años,119
Instrumentos de precisión óptica y similares,Zona Intermedia,De 50 a 54 años,116
Instrumentos de precisión óptica y similares,Zona Intermedia,De 55 a 59 años,79
Instrumentos de precisión óptica y similares,Zona Intermedia,De 60 a 64 años,29
Instrumentos de precisión óptica y similares,Zona Intermedia,De 65 a 69 años,2
Instrumentos de precisión óptica y similares,Zona Intermedia,De 70 a 74 años,12
Instrumentos de precisión óptica y similares,Zona Intermedia,De 75 y más años,5
Instrumentos de precisión óptica y similares,Zona Urbana,Total,16778
Instrumentos de precisión óptica y similares,Zona Urbana,De 16 a 19 años,877
Instrumentos de precisión óptica y similares,Zona Urbana,De 20 a 24 años,2515
Instrumentos de precisión óptica y similares,Zona Urbana,De 25 a 29 años,2611
Instrumentos de precisión óptica y similares,Zona Urbana,De 30 a 34 años,2330
Instrumentos de precisión óptica y similares,Zona Urbana,De 35 a 39 años,2103
Instrumentos de precisión óptica y similares,Zona Urbana,De 40 a 44 años,1679
Instrumentos de precisión óptica y similares,Zona Urbana,De 45 a 49 años,1482
Instrumentos de precisión óptica y similares,Zona Urbana,De 50 a 54 años,1419
Instrumentos de precisión óptica y similares,Zona Urbana,De 55 a 59 años,1172
Instrumentos de precisión óptica y similares,Zona Urbana,De 60 a 64 años,452
Instrumentos de precisión óptica y similares,Zona Urbana,De 65 a 69 años,77
Instrumentos de precisión óptica y similares,Zona Urbana,De 70 a 74 años,26
Instrumentos de precisión óptica y similares,Zona Urbana,De 75 y más años,34
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),Total,367211
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 16 a 19 años,26302
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 20 a 24 años,50673
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 25 a 29 años,48519
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 30 a 34 años,43776
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 35 a 39 años,40978
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 40 a 44 años,36763
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 45 a 49 años,41231
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 50 a 54 años,35554
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 55 a 59 años,27553
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 60 a 64 años,13120
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 65 a 69 años,1726
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 70 a 74 años,502
"Alimentación, bebidas y tabaco",Total nacional (Ambos sexos),De 75 y más años,514
"Alimentación, bebidas y tabaco",Total nacional (Varones),Total,284981
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 16 a 19 años,14458
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 20 a 24 años,27141
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 25 a 29 años,36001
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 30 a 34 años,36433
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 35 a 39 años,35080
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 40 a 44 años,31881
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 45 a 49 años,35953
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 50 a 54 años,30796
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 55 a 59 años,23886
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 60 a 64 años,11158
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 65 a 69 años,1440
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 70 a 74 años,377
"Alimentación, bebidas y tabaco",Total nacional (Varones),De 75 y más años,376
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),Total,82231
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 16 a 19 años,11844
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 20 a 24 años,23532
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 25 a 29 años,12518
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 30 a 34 años,7344
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 35 a 39 años,5898
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 40 a 44 años,4882
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 45 a 49 años,5277
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 50 a 54 años,4758
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 55 a 59 años,3668
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 60 a 64 años,1962
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 65 a 69 años,286
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 70 a 74 años,124
"Alimentación, bebidas y tabaco",Total nacional (Mujeres),De 75 y más años,138
"Alimentación, bebidas y tabaco",Zona Rural,Total,65078
"Alimentación, bebidas y tabaco",Zona Rural,De 16 a 19 años,6310
"Alimentación, bebidas y tabaco",Zona Rural,De 20 a 24 años,10249
"Alimentación, bebidas y tabaco",Zona Rural,De 25 a 29 años,8308
"Alimentación, bebidas y tabaco",Zona Rural,De 30 a 34 años,7028
"Alimentación, bebidas y tabaco",Zona Rural,De 35 a 39 años,6633
"Alimentación, bebidas y tabaco",Zona Rural,De 40 a 44 años,5726
"Alimentación, bebidas y tabaco",Zona Rural,De 45 a 49 años,7071
"Alimentación, bebidas y tabaco",Zona Rural,De 50 a 54 años,6206
"Alimentación, bebidas y tabaco",Zona Rural,De 55 a 59 años,4755
"Alimentación, bebidas y tabaco",Zona Rural,De 60 a 64 años,2278
"Alimentación, bebidas y tabaco",Zona Rural,De 65 a 69 años,320
"Alimentación, bebidas y tabaco",Zona Rural,De 70 a 74 años,123
"Alimentación, bebidas y tabaco",Zona Rural,De 75 y más años,72
"Alimentación, bebidas y tabaco",Zona Intermedia,Total,75775
"Alimentación, bebidas y tabaco",Zona Intermedia,De 16 a 19 años,6786
"Alimentación, bebidas y tabaco",Zona Intermedia,De 20 a 24 años,11869
"Alimentación, bebidas y tabaco",Zona Intermedia,De 25 a 29 años,10085
"Alimentación, bebidas y tabaco",Zona Intermedia,De 30 a 34 años,8601
"Alimentación, bebidas y tabaco",Zona Intermedia,De 35 a 39 años,7940
"Alimentación, bebidas y tabaco",Zona Intermedia,De 40 a 44 años,6822
"Alimentación, bebidas y tabaco",Zona Intermedia,De 45 a 49 años,8002
"Alimentación, bebidas y tabaco",Zona Intermedia,De 50 a 54 años,6980
"Alimentación, bebidas y tabaco",Zona Intermedia,De 55 a 59 años,5468
"Alimentación, bebidas y tabaco",Zona Intermedia,De 60 a 64 años,2644
"Alimentación, bebidas y tabaco",Zona Intermedia,De 65 a 69 años,372
"Alimentación, bebidas y tabaco",Zona Intermedia,De 70 a 74 años,65
"Alimentación, bebidas y tabaco",Zona Intermedia,De 75 y más años,142
"Alimentación, bebidas y tabaco",Zona Urbana,Total,226359
"Alimentación, bebidas y tabaco",Zona Urbana,De 16 a 19 años,13206
"Alimentación, bebidas y tabaco",Zona Urbana,De 20 a 24 años,28555
"Alimentación, bebidas y tabaco",Zona Urbana,De 25 a 29 años,30125
"Alimentación, bebidas y tabaco",Zona Urbana,De 30 a 34 años,28147
"Alimentación, bebidas y tabaco",Zona Urbana,De 35 a 39 años,26405
"Alimentación, bebidas y tabaco",Zona Urbana,De 40 a 44 años,24215
"Alimentación, bebidas y tabaco",Zona Urbana,De 45 a 49 años,26158
"Alimentación, bebidas y tabaco",Zona Urbana,De 50 a 54 años,22369
"Alimentación, bebidas y tabaco",Zona Urbana,De 55 a 59 años,17330
"Alimentación, bebidas y tabaco",Zona Urbana,De 60 a 64 años,8199
"Alimentación, bebidas y tabaco",Zona Urbana,De 65 a 69 años,1035
"Alimentación, bebidas y tabaco",Zona Urbana,De 70 a 74 años,314
"Alimentación, bebidas y tabaco",Zona Urbana,De 75 y más años,300
Industria textil,Total nacional (Ambos sexos),Total,217251
Industria textil,Total nacional (Ambos sexos),De 16 a 19 años,18979
Industria textil,Total nacional (Ambos sexos),De 20 a 24 años,40670
Industria textil,Total nacional (Ambos sexos),De 25 a 29 años,28224
Industria textil,Total nacional (Ambos sexos),De 30 a 34 años,22866
Industria textil,Total nacional (Ambos sexos),De 35 a 39 años,20739
Industria textil,Total nacional (Ambos sexos),De 40 a 44 años,18942
Industria textil,Total nacional (Ambos sexos),De 45 a 49 años,22529
Industria textil,Total nacional (Ambos sexos),De 50 a 54 años,20889
Industria textil,Total nacional (Ambos sexos),De 55 a 59 años,16153
Industria textil,Total nacional (Ambos sexos),De 60 a 64 años,6028
Industria textil,Total nacional (Ambos sexos),De 65 a 69 años,688
Industria textil,Total nacional (Ambos sexos),De 70 a 74 años,297
Industria textil,Total nacional (Ambos sexos),De 75 y más años,247
Industria textil,Total nacional (Varones),Total,122821
Industria textil,Total nacional (Varones),De 16 a 19 años,5311
Industria textil,Total nacional (Varones),De 20 a 24 años,12866
Industria textil,Total nacional (Varones),De 25 a 29 años,14384
Industria textil,Total nacional (Varones),De 30 a 34 años,14887
Industria textil,Total nacional (Varones),De 35 a 39 años,14615
Industria textil,Total nacional (Varones),De 40 a 44 años,13345
Industria textil,Total nacional (Varones),De 45 a 49 años,15598
Industria textil,Total nacional (Varones),De 50 a 54 años,14503
Industria textil,Total nacional (Varones),De 55 a 59 años,11658
Industria textil,Total nacional (Varones),De 60 a 64 años,4805
Industria textil,Total nacional (Varones),De 65 a 69 años,525
Industria textil,Total nacional (Varones),De 70 a 74 años,195
Industria textil,Total nacional (Varones),De 75 y más años,130
Industria textil,Total nacional (Mujeres),Total,94429
Industria textil,Total nacional (Mujeres),De 16 a 19 años,13667
